id,sub_id,text
language,,JP
$C2710_MAIN_0100_0100_00_riv,,
$C2710_MAIN_0100_0100_00_riv,ACTOR,リーブ
$C2710_MAIN_0100_0200_00_riv,,これでよしと
$C2710_MAIN_0100_0200_00_riv,ACTOR,リーブ
$C2710_MAIN_0100_0300_00_mfa,,統括　なにかいいことあったんですか？
$C2710_MAIN_0100_0300_00_mfa,ACTOR,秘書
$C2710_MAIN_0100_0400_00_riv,,ああ　いい仕事ができた
$C2710_MAIN_0100_0400_00_riv,ACTOR,リーブ
$C2710_MAIN_0100_0400_05_mfa,,
$C2710_MAIN_0100_0400_05_mfa,ACTOR,秘書
$C2710_MAIN_0100_0400_07_mfa,,
$C2710_MAIN_0100_0400_07_mfa,ACTOR,秘書
$C2710_MAIN_0100_0500_00_tsu,,お遊びは　ほどほどに
$C2710_MAIN_0100_0500_00_tsu,ACTOR,ツォン
$C2710_MAIN_0100_0500_05_riv,,
$C2710_MAIN_0100_0500_05_riv,ACTOR,リーブ
$C2710_MAIN_0100_0600_00_tsu,,
$C2710_MAIN_0100_0600_00_tsu,ACTOR,ツォン
$C2710_MAIN_0200_0100_00_tsu,,お呼びでしょうか
$C2710_MAIN_0200_0100_00_tsu,ACTOR,ツォン
$C2710_MAIN_0200_0200_00_ruf,,古代種は無事なのか
$C2710_MAIN_0200_0200_00_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_0300_00_tsu,,監視を続けていますが
$C2710_MAIN_0200_0300_00_tsu,ACTOR,ツォン
$C2710_MAIN_0200_0400_00_ruf,,約束の地へ向かっている気配は？
$C2710_MAIN_0200_0400_00_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_0500_00_tsu,,いまのところ　ありません
$C2710_MAIN_0200_0500_00_tsu,ACTOR,ツォン
$C2710_MAIN_0200_0600_00_ruf,,そうか
$C2710_MAIN_0200_0600_00_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_0600_05_tsu,,
$C2710_MAIN_0200_0600_05_tsu,ACTOR,ツォン
$C2710_MAIN_0200_0700_00_tsu,,ヒュージマテリアより気になりますか？
$C2710_MAIN_0200_0700_00_tsu,ACTOR,ツォン
$C2710_MAIN_0200_0700_05_ruf,,
$C2710_MAIN_0200_0700_05_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_0800_00_ruf,,子供の頃からの夢だからな
$C2710_MAIN_0200_0800_00_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_0810_00_ruf,,絶対に　この目で見たい
$C2710_MAIN_0200_0810_00_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_0900_00_tsu,,では　監視を強化しましょう
$C2710_MAIN_0200_0900_00_tsu,ACTOR,ツォン
$C2710_MAIN_0200_0900_05_ruf,,
$C2710_MAIN_0200_0900_05_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_1000_00_rgs,,夢とはまた可愛らしい
$C2710_MAIN_0200_1000_00_rgs,ACTOR,グレン
$C2710_MAIN_0200_1000_03_ruf,,
$C2710_MAIN_0200_1000_03_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_1000_06_ruf,,
$C2710_MAIN_0200_1000_06_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_1100_00_ruf,,おまえは一体　なんだ？
$C2710_MAIN_0200_1100_00_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_1200_00_rgs,,水くさいこと言うなよ
$C2710_MAIN_0200_1200_00_rgs,ACTOR,グレン
$C2710_MAIN_0200_1300_00_rgs,,頭の中がまる見えだぜ　社長<br>俺が怖いんだろう？
$C2710_MAIN_0200_1300_00_rgs,ACTOR,グレン
$C2710_MAIN_0200_1400_00_rgs,,おっと　まだ見えるぞ　なんだ？
$C2710_MAIN_0200_1400_00_rgs,ACTOR,グレン
$C2710_MAIN_0200_1500_00_rgs,,父親への畏怖　憎悪　劣等感
$C2710_MAIN_0200_1500_00_rgs,ACTOR,グレン
$C2710_MAIN_0200_1600_00_rgs,,その奥に封じられた孤独
$C2710_MAIN_0200_1600_00_rgs,ACTOR,グレン
$C2710_MAIN_0200_1700_00_ruf,,否定はしない
$C2710_MAIN_0200_1700_00_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_1710_00_ruf,,すべては　俺の原動力だ
$C2710_MAIN_0200_1710_00_ruf,ACTOR,ルーファウス
$C2710_MAIN_0200_1800_00_rgs,,へえ　いいじゃないか
$C2710_MAIN_0200_1800_00_rgs,ACTOR,グレン
$C2710_MAIN_0200_1900_00_rgs,,星には　いますこし刺激が必要だ
$C2710_MAIN_0200_1900_00_rgs,ACTOR,グレン
$C2710_MAIN_0200_1910_00_rgs,,その力で　かき混ぜてくれ
$C2710_MAIN_0200_1910_00_rgs,ACTOR,グレン
$C2710_MAIN_0200_2000_00_ruf,,そんなに俺が気になるか
$C2710_MAIN_0200_2000_00_ruf,ACTOR,ルーファウス
$C2710_MAIN_0700_0080_05_yfi,,
$C2710_MAIN_0700_0080_05_yfi,ACTOR,ユフィ
$C2710_MAIN_0700_0090_00_cat,,ちょお　すいません
$C2710_MAIN_0700_0090_00_cat,ACTOR,ケット・シー
$C2710_MAIN_0700_0100_00_cat,,お客さ～ん　これからどこ行きましょ？
$C2710_MAIN_0700_0100_00_cat,ACTOR,ケット・シー
