id,sub_id,text
language,,US
$C3310_MAIN_0300_0100_00_eln,,"'Kay, gimme a readback."
$C3310_MAIN_0300_0100_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0105_00_skm,,<i>7-205-246.</i>
$C3310_MAIN_0300_0105_00_skm,ACTOR,<i>Radio</i>
$C3310_MAIN_0300_0110_00_eln,,Confirmed. Those are the correct coordinates.<br>See you up north.
$C3310_MAIN_0300_0110_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0120_00_skm,,<i>Roger.</i>
$C3310_MAIN_0300_0120_00_skm,ACTOR,<i>Radio</i>
$C3310_MAIN_0300_0200_00_eln,,All units have been apprised of the temple's location.
$C3310_MAIN_0300_0200_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0200_03_lud,,Good.
$C3310_MAIN_0300_0200_03_lud,ACTOR,Rude
$C3310_MAIN_0300_0200_05_eln,,
$C3310_MAIN_0300_0200_05_eln,ACTOR,
$C3310_MAIN_0300_0300_00_eln,,So...I did some digging.
$C3310_MAIN_0300_0300_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0310_00_eln,,This keystone curse stuff?<br>It sounds like it might be the real deal.
$C3310_MAIN_0300_0310_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0400_00_eln,,Everyone who's ever used it has ended up dead.
$C3310_MAIN_0300_0400_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0500_00_lud,,Close.
$C3310_MAIN_0300_0500_00_lud,ACTOR,Rude
$C3310_MAIN_0300_0600_00_lud,,"To be precise, those who enter the temple are never seen again. ""Vanished"" doesn't mean ""dead."""
$C3310_MAIN_0300_0600_00_lud,ACTOR,Rude
$C3310_MAIN_0300_0700_00_eln,,And that's better how!?
$C3310_MAIN_0300_0700_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0710_00_eln,,"Either way, the president's sending us to our deaths."
$C3310_MAIN_0300_0710_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0800_00_eln,,Isn't that messed up?
$C3310_MAIN_0300_0800_00_eln,ACTOR,Elena
$C3310_MAIN_0300_0900_00_lud,,He'll be on-site.
$C3310_MAIN_0300_0900_00_lud,ACTOR,Rude
$C3310_MAIN_0300_1000_00_eln,,I'm sorry─<i>what</i>?
$C3310_MAIN_0300_1000_00_eln,ACTOR,Elena
$C3310_MAIN_0300_1100_00_ren,,And you're surprised why?
$C3310_MAIN_0300_1100_00_ren,ACTOR,Reno
$C3310_MAIN_0300_1200_00_eln,,"Uh, I dunno. Maybe because it's a terrible idea? Although, that's kinda on-brand for him."
$C3310_MAIN_0300_1200_00_eln,ACTOR,Elena
$C3310_MAIN_0300_1300_00_tsu,,Wheels up.
$C3310_MAIN_0300_1300_00_tsu,ACTOR,Tseng
$C3310_MAIN_0300_1310_00_tsu,,We'll arrive first and roll out the welcome mat.
$C3310_MAIN_0300_1310_00_tsu,ACTOR,Tseng
$C3310_MAIN_0300_1310_05_eln,,
$C3310_MAIN_0300_1310_05_eln,ACTOR,
$C3310_MAIN_0300_1400_00_lud,,Understood.
$C3310_MAIN_0300_1400_00_lud,ACTOR,Rude
$C3310_MAIN_0400_0100_00_vin,,Got 'em. They're headed for the northern continent.
