id,name,text,text_jp
$C3310_MAIN_0300_0100_00_eln,Elena,"Alright, repeat after me!",じゃあ　復唱して
$C3310_MAIN_0300_0105_00_skm,<i>Radio</i>," <i>Area 7, 205, 246</i> ",<br><i>エリア７　２０５　２４６</i><br>
$C3310_MAIN_0300_0110_00_eln,Elena,"Oh, right, right! ""The Northern Continent!""",あーそうそう　『北の大陸』
$C3310_MAIN_0300_0120_00_skm,<i>Radio</i>, <i>Roger that</i> ,<br><i>了解</i><br>
$C3310_MAIN_0300_0200_00_eln,Elena,"All units, I’ve shared the temple coordinates!",全機　神殿の座標共有しました！
$C3310_MAIN_0300_0200_03_lud,Rude,FOREE_5,FOREE_5
$C3310_MAIN_0300_0200_05_eln,Elena,FOREE_6,FOREE_6
$C3310_MAIN_0300_0300_00_eln,Elena,"Uh...I did some digging, and...",あの……調べたんですけど
$C3310_MAIN_0300_0310_00_eln,Elena,"This ""Keystone curse"" thing? It’s got some serious credibility!",キーストーンの呪いって<br>けっこう　信憑性高いですよ
$C3310_MAIN_0300_0400_00_eln,Elena,Anyone who uses it ends up dead!,使った人は死んじゃうんです
$C3310_MAIN_0300_0500_00_lud,Rude,Wrong.,ちがう
$C3310_MAIN_0300_0600_00_lud,Rude,"The records say, ""No one who used the Keystone to enter the temple ever came back out.""",文献にあるのは『キーストーンを使って神殿に入り<br>出てきた者はいない』だ
$C3310_MAIN_0300_0700_00_eln,Elena,That’s the same thing!,同じですよ！
$C3310_MAIN_0300_0710_00_eln,Elena,"And yet, the President’s sending everyone in anyway!",それなのに　社長はみんなを行かせるんですよ
$C3310_MAIN_0300_0800_00_eln,Elena,Isn’t that awful?,ひどくないですか？
$C3310_MAIN_0300_0900_00_lud,Rude,"The President’s going too, I hear.",社長も行くそうだ
$C3310_MAIN_0300_1000_00_eln,Elena,What kinda nerve...!,どういう神経
$C3310_MAIN_0300_1100_00_ren,Reno,"That’s our boss for ya, huh!",さすがだぞ　と
$C3310_MAIN_0300_1200_00_eln,Elena,"Impressive my foot—it’s reckless! Not that I hate it, though.",さすがっていうか　無謀ですよ！<br>まあ　嫌いじゃないですけど
$C3310_MAIN_0300_1300_00_tsu,Tseng,We’re moving out.,出発だ
$C3310_MAIN_0300_1310_00_tsu,Tseng,We’ll take point and open the temple gates.,我々が先行し　神殿の門を開く
$C3310_MAIN_0300_1310_05_eln,Elena,FOREE_21,FOREE_21
$C3310_MAIN_0300_1400_00_lud,Rude,Understood.,了解
$C3310_MAIN_0400_0100_00_vin,Vincent,Looks like they’re headed for the Northern Continent.,連中は　北の大陸に飛ぶようだ
$C3310_MAIN_0400_0200_00_cid,Cid,"Aw, crap...over there, huh?",あ～　あっちか……
$C3310_MAIN_0400_0300_00_art,Aerith,Can we make it?,行けそう？
$C3310_MAIN_0400_0400_00_cid,Cid,"No sweat! My skills are top-tier, baby!",だいじょーぶ　オレ様の腕は特がつく上だ！
$C3310_MAIN_0400_0500_00_cid,Cid,"Even if they rip my wings off, I’ll plow through those waves and get us there!",たとえ　翼をもがれようとも<br>大波かきわけて　渡ってやろうじゃねえか
$C3310_MAIN_0400_0600_00_yfi,Yuffie,"That means it’s gonna shake, right?",それって　揺れるってことだよね？
$C3310_MAIN_0400_0700_00_cid,Cid,"You bet it will! Life’s full of rough waters, kid.",そりゃあな<br>まあ　人生に荒波はつきもんだ
$C3310_MAIN_0400_0700_05_yfi,Yuffie,FOREE_30,FOREE_30
$C3310_MAIN_0400_0800_00_vin,Vincent,Shinra’s mobilizing the Turks and the army.,神羅はタークスと軍が動く
$C3310_MAIN_0400_0900_00_vin,Vincent,Better get your affairs in order.,身辺整理をしておくんだな
$C3310_MAIN_0800_0100_00_ruf,Rufus,It’s almost time.,まもなくだな
$C3310_MAIN_0800_0200_00_hjo,Hojo,"Personally, I don’t think this temple is the Promised Land.",思うに　目指す神殿は<br>約束の地ではないと思うねえ
$C3310_MAIN_0800_0300_00_ruf,Rufus,"And your assessment, Professor?",では　博士の見立ては？
$C3310_MAIN_0800_0300_03_rch,Roche,FOREE_36,FOREE_36
$C3310_MAIN_0800_0300_04_mnt,NPC,FOREE_37,FOREE_37
$C3310_MAIN_0800_0300_07_hjo,Hojo,FOREE_38,FOREE_38
$C3310_MAIN_0800_0400_00_hjo,Hojo,"The prophet’s descent, the blessing of the servants...",予言者の降臨　しもべたちの祝福
$C3310_MAIN_0800_0500_00_hjo,Hojo,You could call it a turning point in history.,言わば　歴史のターニングポイント
$C3310_MAIN_0800_0510_00_hjo,Hojo,Let’s just say the temple is the stage for it.,神殿は　その舞台とでも言っておこうか
$C3310_MAIN_0800_0600_00_tsu,<i>Tseng</i>,<i>Target located.</i>,<i>目標を発見しました</i>
$C3310_MAIN_0900_0000_05_tsu,Tseng,FOREE_43,FOREE_43
$C3310_MAIN_0900_0100_00_eln,Elena,Is this really the place?,本当に　ここですか？
$C3310_MAIN_0900_0200_00_tsu,Tseng,Let’s confirm it.,確かめよう
$C3310_MAIN_0900_0200_05_tsu,Tseng,FOREE_46,FOREE_46
$C3310_MAIN_0900_0200_07_tsu,Tseng,FOREE_47,FOREE_47
$C3310_MAIN_0900_0200_11_eln,Elena,FOREE_48,FOREE_48
$C3310_MAIN_0900_0200_13_lud,Rude,FOREE_49,FOREE_49
$C3310_MAIN_0900_0300_00_tsu,Tseng,FOREE_50,FOREE_50
$C3310_MAIN_0900_0300_05_eln,Elena,FOREE_51,FOREE_51
$C3310_MAIN_0900_0300_08_lud,Rude,FOREE_52,FOREE_52
$C3310_MAIN_0900_0300_10_ren,Reno,FOREE_53,FOREE_53
$C3310_MAIN_0950_0050_00_hjo,Hojo,FOREE_54,FOREE_54
$C3310_MAIN_1000_0100_00_red,Red XIII,"Look, look at that!",見て　見てよ！
$C3310_MAIN_1000_0200_00_yfi,Yuffie,I’m lookin’...,見てる……
$C3310_MAIN_1000_0300_00_cid,Cid,"Alright, you bastards, raise the sails!",よっしゃ　野郎ども　帆をあげろ！
$C3310_MAIN_1000_0400_00_yfi,Yuffie,We don’t have any~!,そんなのありませ～ん
$C3310_MAIN_1000_0410_00_yfi,Yuffie,And I ain’t a bastard~!,あと　野郎じゃありませ～ん！
$C3310_MAIN_1000_0410_05_yfi,Yuffie,FOREE_60,FOREE_60
$C3310_MAIN_1000_0500_00_cid,Cid,"It’s about the vibe, the vibe!",雰囲気だ　雰囲気！
$C3310_MAIN_1000_0600_00_cid,Cid,Here we go—setting sail for the open sea!,よっしゃあ　大海原へと漕ぎだすぜ！
$C3310_MAIN_1000_0700_00_art,Tifa & Aerith,"Aye, aye, sir!",アイアイサー！
$C3310_MAIN_1000_0800_00_tif,Tifa,FOREE_64,FOREE_64
$C3310_MAIN_1000_0900_00_cid,Cid,FOREE_65,FOREE_65
$C3310_MAIN_1000_1000_00_yfi,Yuffie,FOREE_66,FOREE_66
$C3310_MAIN_1050_0100_00_sys,NPC,Will you disembark on this continent? (You won’t be able to return after landing.),この大陸に上陸しますか？<br>（上陸すると戻れなくなります）
$C3310_MAIN_1050_0200_00_sys,NPC,Yes,はい
$C3310_MAIN_1050_0300_00_sys,NPC,No,いいえ
$C3310_MAIN_1100_0100_00_art,Aerith,The air...it’s all restless.,空気　ざわざわしてる
$C3310_MAIN_1100_0200_00_cid,Cid,"Pushed her a little hard, so I wanna give this baby some maintenance.",ちょこっと無理させちまったから<br>こいつの整備をしておきてえ
$C3310_MAIN_1100_0300_00_cid,Cid,Go on ahead without me.,先　行っててくれ
$C3310_MAIN_1100_0400_00_cld,Cloud,You gonna be okay?,大丈夫なのか
$C3310_MAIN_1100_0500_00_cid,Cid,It’s me we’re talkin’ about!,オレ様だぜ？
$C3310_MAIN_1100_0500_05_cld,Cloud,FOREE_75,FOREE_75
$C3310_MAIN_1150_0100_00_cid,Cid,I’ll fix her up quick and catch up with ya.,さくっと直して　追いかけっからよ
$C3310_MAIN_1150_0200_00_cid,Cid,"Gotta patch up those wings sometime soon, too.",ぼちぼち　翼も直してやりてえな
$C3310_MAIN_1160_0100_00_vin,Vincent,Been a while since I last stepped outside. Exhausting.,外出は久しぶりだ　疲れる
$C3310_MAIN_1160_0200_00_vin,Vincent,Nature’s a formidable foe...,自然は強敵だな……
$C3310_MAIN_1200_0100_00_blt,Barret,"Man, the Ancients were somethin’ else!",古代種ってのは　すげえな
$C3310_MAIN_1200_0200_00_red,Red XIII,"Technically, they’re called the Cetra.",正しくは　セトラだよ
$C3310_MAIN_1200_0300_00_art,Aerith,FOREE_82,FOREE_82
$C3310_MAIN_1200_0300_05_art,Aerith,FOREE_83,FOREE_83
$C3310_MAIN_1200_0400_00_art,Aerith,FOREE_84,FOREE_84
$C3310_MAIN_1200_0400_05_art,Aerith,FOREE_85,FOREE_85
$C3310_MAIN_1200_0500_00_art,Aerith,I’m back.,ただいま
$C3310_MAIN_1200_0600_00_blt,Barret,"Born of the Planet, speaking with the Planet, opening the Planet.",『星より生まれ　星と語り　星を開く』
$C3310_MAIN_1200_0610_00_blt,Barret,"And then, returning to the Promised Land.",『そして　約束の地へ帰る』
$C3310_MAIN_1200_0700_00_blt,Barret,"Supreme happiness, the destined land granted by the Planet.",『至上の幸福　星が与えし定めの地』
$C3310_MAIN_1200_0800_00_art,Aerith,"No, that’s not it. It’s not the Promised Land.",ううん　ちがう<br>約束の地じゃない
$C3310_MAIN_1200_0900_00_art,Aerith,Because what’s here is...,だって　ここにあるのは……
$C3310_MAIN_1200_1000_00_art,Aerith,Sorrow.,悲しみ
$C3310_MAIN_1200_1100_00_art,Aerith,And anger.,そして　怒り
$C3310_MAIN_1200_1200_00_tif,Tifa,Calling us?,呼んでる？
$C3310_MAIN_1200_1300_00_art,Aerith,Yeah.,うん
$C3310_MAIN_1300_0100_00_blt,Barret,"Greedy sons of bitches, all of ‘em!",まったく　強欲な連中だぜ
$C3310_MAIN_1400_0100_00_skm,NPC,"Dammit, what the hell’s goin’ on?!",クソ　どうなってんだよ
$C3310_MAIN_1400_0200_00_skm,NPC,Maybe it’s the Ancients’ curse.,古代種の呪いかもな
$C3310_MAIN_1400_0300_00_skm,NPC,Don’t say creepy shit like that!,怖いこと言うなよ
$C3310_MAIN_1500_0100_00_skm,Special Ops Soldier,Who the hell are you guys?!,なんだ　貴様ら
$C3310_MAIN_1500_0200_00_skm,Special Ops Soldier,Don’t move!,動くな！
$C3310_MAIN_1600_0100_00_skm,Special Ops Soldier,It’s them! Contact the Turks!,やつらだ　タークスに連絡しろ！
$C3310_MAIN_1700_0100_00_skm,Special Ops Soldier,Avalanche spotted!,アバランチ発見！
$C3310_MAIN_1700_0200_00_skm,Special Ops Soldier,Don’t kill the Ancient!,古代種は殺すな
$C3310_MAIN_1900_0100_00_vin,Vincent,Monsters did this.,モンスターの仕業だな
$C3310_MAIN_1900_0200_00_cid,Cid,This is one hell of a mess.,こりゃ　ひっでえな
$C3310_MAIN_1900_0300_00_yfi,Yuffie,"Hey, hey, Aerith and the gang are VIPs here, right?",ねえねえ　エアリスと仲間たちは<br>特別ご招待だよね？
$C3310_MAIN_1900_0300_05_art,Aerith,FOREE_108,FOREE_108
$C3310_MAIN_1900_0400_00_art,Aerith,FOREE_109,FOREE_109
$C3310_MAIN_1900_0400_05_art,Aerith,FOREE_110,FOREE_110
$C3310_MAIN_1900_0500_00_art,Aerith,Oh...I guess since I’m only half...,そうか　わたし　半分ちがうから……
$C3310_MAIN_1900_0500_05_yfi,Yuffie,FOREE_112,FOREE_112
$C3310_MAIN_1900_0600_00_art,Aerith,"Sorry, no special treatment.",ごめん　特別待遇ないって
$C3310_MAIN_1900_0600_05_yfi,Yuffie,FOREE_114,FOREE_114
$C3310_MAIN_1900_0700_00_cid,Cid,"Got carried away with the momentum, but honestly, I ain’t thrilled about goin’ in there.",勢いできちまったが<br>正直　こんなかに入るのは気が進まねえ
$C3310_MAIN_1900_0800_00_cid,Cid,I’m stayin’ behind.,オレは　残るぜ
$C3310_MAIN_1900_0900_00_art,Aerith,"Okay, got it.",うん　わかった
$C3310_MAIN_1900_1000_00_art,Aerith,Thanks for everything so far. You’ve really saved us.,これまで　ありがとう<br>ほんとうに助かっちゃった
$C3310_MAIN_1900_1100_00_cid,Cid,"Hey, it ain’t goodbye or nothin’.",いや　お別れってわけじゃねえ
$C3310_MAIN_1900_1200_00_cid,Cid,"You’ll need a ride back, right?",帰りの足がいるだろ？
$C3310_MAIN_1900_1200_05_art,Aerith,FOREE_121,FOREE_121
$C3310_MAIN_1900_1300_00_cid,Cid,"I’ll be waitin’, so make sure you come back in one piece.",待ってっから　ちゃんと帰ってこい
$C3310_MAIN_2000_0100_00_cid,Cid,Don’t worry about the trip back. I’ve got her all tuned up.,帰りは心配すんな<br>しっかり整備しといたからよ
$C3310_MAIN_2000_0200_00_cid,Cid,"Sorry, but the inside just don’t feel like my turf.",悪いな　中はオレのテリトリーって気がしねえんだ
$C3310_MAIN_2100_0100_00_vin,Vincent,Nothing’s showing up.,なにも出ないぞ
$C3310_MAIN_2100_0200_00_vin,Vincent,"No expectations, no disappointments.",期待しなければ失望しない
$C3310_MAIN_2200_0000_08_vin,Vincent,FOREE_127,FOREE_127
$C3310_MAIN_2200_0100_00_ruf,Rufus,FOREE_128,FOREE_128
$C3310_MAIN_2200_0200_00_ruf,Rufus,The Ancient has entered the temple.,古代種が神殿に入った
$C3310_MAIN_2200_0300_00_hjo,Hojo,"Then he’s with her too, I presume.",となると　あいつも一緒だな
$C3310_MAIN_2200_0310_00_hjo,Hojo,"Oh, now that’s interesting.",そうか　それはおもしろい
$C3310_MAIN_2200_0400_00_hjo,Hojo,Excellent.,いいぞ
$C3310_MAIN_2200_0500_00_ruf,Rufus,"Well, old man?",どうだ　オヤジ
$C3310_MAIN_2300_0000_05_rch,Black-Cloaked Man,FOREE_134,FOREE_134
$C3310_MAIN_2300_0100_00_cld,Cloud,FOREE_135,FOREE_135
$C3310_MAIN_2300_0100_03_rch,Black-Cloaked Man,FOREE_136,FOREE_136
$C3310_MAIN_2300_0100_05_cld,Cloud,FOREE_137,FOREE_137
$C3310_MAIN_2300_0200_00_rch,Black-Cloaked Man,Black...materia...,くろ……まてりあ……
$C3310_MAIN_2300_0300_00_rch,Black-Cloaked Man,Seph...iroth...,セフィ……ロス……
$C3310_MAIN_2300_0300_05_rch,Black-Cloaked Man,FOREE_140,FOREE_140
$C3310_MAIN_2300_0400_00_tif,Tifa,"Hey, that guy...",ねえ　あの人って……
$C3310_MAIN_2300_0500_00_cld,Cloud,Sephiroth’s already here.,セフィロスがもう来ている
$C3310_MAIN_2300_0600_00_cld,Cloud,This is bad. We need to hurry.,まずいな　はやく行こう
$C3310_MAIN_2400_0100_00_rch,Black-Cloaked Man,My...frien...,マイ……フレ……
$C3310_MAIN_2400_0200_00_rch,Black-Cloaked Man,Seph...i...roth...,セフィ……ロ……ス
$C3310_MAIN_2400_0300_00_rch,Black-Cloaked Man,Black...materia...,くろ……まてりあ……
$C3310_MAIN_2450_0100_00_skm,Special Ops Soldier,Intruders! Grab ‘em!,侵入者だ　捕まえろ！
$C3310_MAIN_2600_0100_00_yfi,Yuffie,FOREE_148,FOREE_148
$C3310_MAIN_2600_0200_00_yfi,Yuffie,So the Ancients built this place to hide the Black Materia?,古代種は　黒マテリアを隠すために<br>ここを作ったってこと？
$C3310_MAIN_2600_0300_00_yfi,Yuffie,How much is that Black Materia worth anyway?!,黒マテリアの価値って　どんだけ！
$C3310_MAIN_2600_0400_00_art,Aerith,FOREE_151,FOREE_151
$C3310_MAIN_2600_0400_05_yfi,Yuffie,FOREE_152,FOREE_152
$C3310_MAIN_2600_0500_00_art,Aerith,The Black Materia’s a secret. Shinra probably doesn’t even know.,黒マテリアのことは　ナイショ<br>神羅は　きっと知らないから
$C3310_MAIN_2600_0500_05_yfi,Yuffie,FOREE_154,FOREE_154
$C3310_MAIN_2600_0600_00_red,Red XIII,Cait Sith’s talking!,ケット・シーがしゃべってるよ
$C3310_MAIN_2600_0700_00_cld,Cloud,"Anyway, let’s find it fast. That thing’s ours.",とにかく　はやく見つけよう<br>あれは俺たちがもらう
$C3310_MAIN_2600_0700_07_blt,Barret,FOREE_157,FOREE_157
$C3310_MAIN_2600_0800_00_blt,Barret,"Hey, hey, what’s goin’ on here?",おいおい　どうなってんだ？
$C3310_MAIN_2600_0900_00_red,Red XIII,Our common sense might not apply here.,オイラたちの常識　通用しないかも
$C3310_MAIN_2600_0900_05_skm,NPC,FOREE_160,FOREE_160
$C3310_MAIN_2600_0900_06_skm,NPC,FOREE_161,FOREE_161
$C3310_MAIN_2600_0900_07_skm,NPC,FOREE_162,FOREE_162
$C3310_MAIN_2700_0100_00_skm,Special Ops Soldier,FOREE_163,FOREE_163
$C3310_MAIN_2700_0200_00_skm,Special Ops Soldier,"Hurry, hurry!",急げ　急げ！
$C3310_MAIN_2700_0200_05_eln,Elena,FOREE_165,FOREE_165
$C3310_MAIN_2700_0200_06_lud,Rude,FOREE_166,FOREE_166
$C3310_MAIN_2700_0200_07_ren,Reno,FOREE_167,FOREE_167
$C3310_MAIN_2700_0200_08_eln,Elena,FOREE_168,FOREE_168
$C3310_MAIN_2700_0300_00_eln,Elena,"More like the ""Land of the End"" than the Promised Land, huh?",約束の地というより　終末の地？
$C3310_MAIN_2700_0400_00_lud,Rude,Don’t overthink it.,余計なことを考えるな
$C3310_MAIN_2700_0500_00_eln,Elena,Can’t help it~!,無理ですよ～
$C3310_MAIN_2700_0500_07_eln,Elena,FOREE_172,FOREE_172
$C3310_MAIN_2700_0500_09_lud,Rude,FOREE_173,FOREE_173
$C3310_MAIN_2700_0500_11_skm,Special Ops Soldier,FOREE_174,FOREE_174
$C3310_MAIN_2700_0600_00_skm,Special Ops Soldier,"Chief Tseng, the Ancient and Avalanche have breached the perimeter.",ツォン主任<br>古代種とアバランチが侵入しています
$C3310_MAIN_2700_0700_00_eln,Elena,Should we set up an ambush and take ‘em out?,待ち伏せして　やっちゃいますか
$C3310_MAIN_2700_0800_00_tsu,Tseng,No. The mission comes first.,いや　任務を優先する
$C3310_MAIN_2700_0800_05_eln,Elena,FOREE_178,FOREE_178
$C3310_MAIN_2700_0900_00_tsu,Tseng,Split into two teams. We’ll confirm whether this is the Promised Land—or something else entirely.,二手に分かれて　ここが約束の地である<br>または　違うという確証を探そう
$C3310_MAIN_2700_1000_00_tsu,Tseng,"Reno, pair up with Rude. The rest of you, with me.",レノはルードと組め<br>あとは　私といっしょだ
$C3310_MAIN_2700_1000_04_lud,Rude,FOREE_181,FOREE_181
$C3310_MAIN_2700_1010_00_eln,Elena,"Yes, sir!",はい！
$C3310_MAIN_2700_1010_05_tsu,Tseng,FOREE_183,FOREE_183
$C3310_MAIN_2700_1100_00_tsu,Tseng,Reno.,レノ
$C3310_MAIN_2700_1200_00_ren,Reno,FOREE_185,FOREE_185
$C3310_MAIN_2700_1300_00_tsu,Tseng,Mission takes priority. Understood?,任務が優先だ　いいな
$C3310_MAIN_2700_1300_08_lud,Rude,FOREE_187,FOREE_187
$C3310_MAIN_2700_1310_00_ren,Reno,"You got it, boss!",はいよ　と
$C3310_MAIN_2700_1310_05_ren,Reno,FOREE_189,FOREE_189
$C3310_MAIN_2800_0100_00_blt,Barret,This damn temple’s crawlin’ with Shinra goons and black-cloaked freaks.,ややこしい神殿には<br>神羅どもと黒マントがうようよ
$C3310_MAIN_2800_0200_00_blt,Barret,Looks like we’re in for a busy day!,こりゃ　忙しくなりそうだ
$C3310_MAIN_2800_0300_00_red,Red XIII,"Sephiroth’s here too, isn’t he?",セフィロスもいるんだよね？
$C3310_MAIN_2800_0400_00_cld,Cloud,Yeah. No doubt about it.,ああ　確実だ
$C3310_MAIN_2800_0500_00_blt,Barret,I got a bad feelin’ about this...,嫌な予感しかしねえな
$C3310_MAIN_2800_0600_00_art,Aerith,We’ll figure it out somehow.,そこをなんとか
$C3310_MAIN_2800_0700_00_art,Aerith,"Chin up, let’s go!",元気出して　行こう
$C3310_MAIN_2800_0800_00_art,Aerith,"Otherwise, this place will just drag us down.",じゃないと　ここ<br>気持ち　ふさいじゃうから
$C3310_MAIN_2800_0900_00_tif,Tifa,Got it!,了解！
$C3310_MAIN_3000_0100_00_red,Red XIII,What happened here...?,なにがあったんだろう
$C3310_MAIN_3000_0200_00_art,Aerith,Blood...,血……
$C3310_MAIN_3000_0210_00_art,Aerith,So much blood was spilled.,血が　たくさん流れた
$C3310_MAIN_3000_0300_00_art,Aerith,Long ago...like a war.,大昔　戦争……みたい
$C3310_MAIN_3100_0200_00_cld,Cloud,No one’s ever entered the temple and come back alive.,神殿に入って　生きて帰った者はいない
$C3310_MAIN_3100_0210_00_cld,Cloud,Heard it from Cait Sith.,ケット・シーから聞いた
$C3310_MAIN_3100_0300_00_yfi,Yuffie,You’re tellin’ us that <i>now</i>!?,それを　いま言うか！
$C3310_MAIN_3100_0400_00_blt,Barret,Probably just rumors. Don’t sweat it.,どうせデマカセだ　気にすんな
$C3310_MAIN_3200_0000_05_cld,Cloud,FOREE_207,FOREE_207
$C3310_MAIN_3200_0100_00_yfi,Yuffie,FOREE_208,FOREE_208
$C3310_MAIN_3200_0100_08_blt,Barret,FOREE_209,FOREE_209
$C3310_MAIN_3200_0100_11_cld,Cloud,FOREE_210,FOREE_210
$C3310_MAIN_3200_0200_00_art,Aerith,Are we...upside down?,わたしたち　逆さま？
$C3310_MAIN_3200_0200_05_blt,Barret,FOREE_212,FOREE_212
$C3310_MAIN_3200_0300_00_cld,Cloud,No. Depends on how you look at it.,いや　考え方次第だ
$C3310_MAIN_3210_0100_00_skm,Special Ops Soldier,Uwaaaah!,うわあああ！
$C3310_MAIN_3210_0200_00_yfi,Yuffie,What was that!?,いまのなに？
$C3310_MAIN_3210_0300_00_blt,Barret,Hell if I know!,知るか
$C3310_MAIN_3220_0100_00_yfi,Yuffie,Was that the waterfall the Shinra guy just went down?,あれって　さっき神羅兵が流れた滝？
$C3310_MAIN_3220_0200_00_art,Aerith,"Yeah, looks like it. Wonder how far it goes...",うん　そうだね<br>どこまで続くんだろう
