id,name,text,text_jp
$C1910_MAIN_0050_0100_00_red,NPC,Where do I even start? What should I tell you?,なにから話すべきか　なにを伝えるべきか
$C1910_MAIN_0050_0200_00_red,NPC,"The things I’ve seen with my own eyes, heard with my own ears, and felt in my heart.",この目で見たこと　耳で聞いたこと<br>心で感じたこと
$C1910_MAIN_0050_0300_00_red,NPC,"About the planet, about fate, about my comrades—all of it, I’ll share with you.",星のこと　運命のこと　仲間のこと<br>すべて　おまえたちに語ろう
$C1910_MAIN_0050_0400_00_red,NPC,"The mako city, Midgar.",魔晄都市ミッドガル
$C1910_MAIN_0050_0500_00_red,NPC,"The Shinra Company, dominating that massive city,",その巨大な街を支配する神羅カンパニーは
$C1910_MAIN_0050_0600_00_red,NPC,kept draining the Lifestream—the planet’s very lifeblood—and squandering it as mako energy.,星の命であるライフストリームを吸い上げて<br>魔晄エネルギーとして浪費しつづけていた
$C1910_MAIN_0050_0700_00_red,NPC,"The planet was screaming in agony, but hardly anyone noticed its cries.",星は悲鳴をあげていたが<br>その声に気づく者は　ほとんどいなかった
$C1910_MAIN_0050_0800_00_red,NPC,"Yet amidst it all, some rose to fight for the planet.",そんな中　星のために立ち上がる者たちがいた
$C1910_MAIN_0050_0810_00_red,NPC,"The anti-Shinra group, Avalanche.",反神羅組織　アバランチ
$C1910_MAIN_0050_0900_00_red,NPC,"They hired a mercenary—a man named Cloud, once a Shinra SOLDIER—and blew up Mako Reactor 1.",彼らは神羅の強化兵士　ソルジャーだった男<br>クラウドを傭兵として雇い　壱番魔晄炉を爆破する
$C1910_MAIN_0050_1000_00_red,NPC,"In Sector 8, where the reactor’s destruction wreaked havoc, Cloud met Aerith, a flower seller.",魔晄炉爆破の被害が広がる八番街で<br>クラウドは　花売りのエアリスと出会う
$C1910_MAIN_0050_1100_00_red,NPC,She offered him a yellow flower.,差し出される黄色い花
$C1910_MAIN_0050_1110_00_red,NPC,"Its meaning: <i>Reunion.</i>",花言葉は　“再会”
$C1910_MAIN_0050_1200_00_red,NPC,"From that moment, fate began to shift in a big way.",そこから　運命は大きく動きだす
$C1910_MAIN_0050_1300_00_red,NPC,"Avalanche set their sights on blowing up Mako Reactor 5 next,",アバランチは壱番魔晄炉につづき<br>伍番魔晄炉の爆破を目論む
