id,sub_id,text
language,,US
$C2710_MAIN_0100_0100_00_riv,,
$C2710_MAIN_0100_0100_00_riv,ACTOR,
$C2710_MAIN_0100_0200_00_riv,,That oughta do it.
$C2710_MAIN_0100_0200_00_riv,ACTOR,Reeve
$C2710_MAIN_0100_0300_00_mfa,,If you don't mind my saying...<br>you're in an awfully good mood.
$C2710_MAIN_0100_0300_00_mfa,ACTOR,Secretary
$C2710_MAIN_0100_0400_00_riv,,"Well, it's been productive."
$C2710_MAIN_0100_0400_00_riv,ACTOR,Reeve
$C2710_MAIN_0100_0400_05_mfa,,
$C2710_MAIN_0100_0400_05_mfa,ACTOR,
$C2710_MAIN_0100_0400_07_mfa,,
$C2710_MAIN_0100_0400_07_mfa,ACTOR,
$C2710_MAIN_0100_0500_00_tsu,,Don't have too much fun.
$C2710_MAIN_0100_0500_00_tsu,ACTOR,Tseng
$C2710_MAIN_0100_0500_05_riv,,
$C2710_MAIN_0100_0500_05_riv,ACTOR,
$C2710_MAIN_0100_0600_00_tsu,,
$C2710_MAIN_0100_0600_00_tsu,ACTOR,
$C2710_MAIN_0200_0100_00_tsu,,"You called, sir?"
$C2710_MAIN_0200_0100_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0200_00_ruf,,What is the status of the Ancient?
$C2710_MAIN_0200_0200_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0300_00_tsu,,We still have eyes on her.
$C2710_MAIN_0200_0300_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0400_00_ruf,,Is she looking for the promised land?
$C2710_MAIN_0200_0400_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0500_00_tsu,,We don't believe so.
$C2710_MAIN_0200_0500_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0600_00_ruf,,I see.
$C2710_MAIN_0200_0600_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0600_05_tsu,,
$C2710_MAIN_0200_0600_05_tsu,ACTOR,
$C2710_MAIN_0200_0700_00_tsu,,Is she a higher priority than the materia?
$C2710_MAIN_0200_0700_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0700_05_ruf,,
$C2710_MAIN_0200_0700_05_ruf,ACTOR,
$C2710_MAIN_0200_0800_00_ruf,,Not her so much as her birthright.
$C2710_MAIN_0200_0800_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0810_00_ruf,,It's a dream of mine to see it with my own eyes.
$C2710_MAIN_0200_0810_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_0900_00_tsu,,Understood. We'll step up surveillance.
$C2710_MAIN_0200_0900_00_tsu,ACTOR,Tseng
$C2710_MAIN_0200_0900_05_ruf,,
$C2710_MAIN_0200_0900_05_ruf,ACTOR,
$C2710_MAIN_0200_1000_00_rgs,,"""It's a dream of mine."" How cute."
$C2710_MAIN_0200_1000_00_rgs,ACTOR,Glenn
$C2710_MAIN_0200_1000_03_ruf,,
$C2710_MAIN_0200_1000_03_ruf,ACTOR,
$C2710_MAIN_0200_1000_06_ruf,,
$C2710_MAIN_0200_1000_06_ruf,ACTOR,
$C2710_MAIN_0200_1100_00_ruf,,Who are you really?
$C2710_MAIN_0200_1100_00_ruf,ACTOR,Rufus
$C2710_MAIN_0200_1200_00_rgs,,"Oh, come on. You know me."
$C2710_MAIN_0200_1200_00_rgs,ACTOR,Glenn
$C2710_MAIN_0200_1300_00_rgs,,"And I know you, Mr. President─you <i>and</i> your fears."
$C2710_MAIN_0200_1300_00_rgs,ACTOR,Glenn
