id,sub_id,text
language,,JP
$C2910_MAIN_0200_0100_00_yfi,,うう　ダメだ……
$C2910_MAIN_0200_0100_00_yfi,ACTOR,ユフィ
$C2910_MAIN_0200_0200_00_cid,,なんだ？
$C2910_MAIN_0200_0200_00_cid,ACTOR,シド
$C2910_MAIN_0200_0300_00_yfi,,飛行機は大丈夫だと思ったのに……
$C2910_MAIN_0200_0300_00_yfi,ACTOR,ユフィ
$C2910_MAIN_0200_0400_00_cid,,おい　吐くなら外に吐けよ！
$C2910_MAIN_0200_0400_00_cid,ACTOR,シド
$C2910_MAIN_0200_0500_00_yfi,,おええ～
$C2910_MAIN_0200_0500_00_yfi,ACTOR,ユフィ
$C2910_MAIN_0300_0100_00_blt,,よう　シド
$C2910_MAIN_0300_0100_00_blt,ACTOR,バレット
$C2910_MAIN_0300_0200_00_cid,,なんでい
$C2910_MAIN_0300_0200_00_cid,ACTOR,シド
$C2910_MAIN_0300_0300_00_blt,,こんなふうに飛んでてよ<br>神羅が来たら　どうすんだ？
$C2910_MAIN_0300_0300_00_blt,ACTOR,バレット
$C2910_MAIN_0300_0400_00_cid,,空は誰のモンでもねえ<br>神羅なんか　クソ食らえってなもんだ！
$C2910_MAIN_0300_0400_00_cid,ACTOR,シド
$C2910_MAIN_0300_0500_00_blt,,ハハハハハ！<br>あんたイイな　そうこなくちゃよ
$C2910_MAIN_0300_0500_00_blt,ACTOR,バレット
$C2910_MAIN_0400_0100_00_red,,だいぶ　近づいてきたようだな
$C2910_MAIN_0400_0100_00_red,ACTOR,レッドXIII
$C2910_MAIN_0400_0200_00_cid,,おう　そろそろ降りるぞ
$C2910_MAIN_0400_0200_00_cid,ACTOR,シド
$C2910_MAIN_0500_0049_05_cid,,
$C2910_MAIN_0500_0049_05_cid,ACTOR,シド
$C2910_MAIN_0500_0050_00_cid,,ほーい　到着！
$C2910_MAIN_0500_0050_00_cid,ACTOR,シド
$C2910_MAIN_0500_0050_09_yfi,,
$C2910_MAIN_0500_0050_09_yfi,ACTOR,ユフィ
$C2910_MAIN_0500_0050_15_yfi,,
$C2910_MAIN_0500_0050_15_yfi,ACTOR,ユフィ
$C2910_MAIN_0500_0050_19_cid,,
$C2910_MAIN_0500_0050_19_cid,ACTOR,シド
$C2910_MAIN_0500_0100_00_cid,,オレに案内できんのは　ここまでだ
$C2910_MAIN_0500_0100_00_cid,ACTOR,シド
$C2910_MAIN_0500_0110_00_cid,,これ以上は近寄れねえから<br>あとは　テキトーに歩け！
$C2910_MAIN_0500_0110_00_cid,ACTOR,シド
$C2910_MAIN_0500_0200_00_blt,,次に頼むときは　どうすりゃいい？
$C2910_MAIN_0500_0200_00_blt,ACTOR,バレット
$C2910_MAIN_0500_0200_05_cid,,
$C2910_MAIN_0500_0200_05_cid,ACTOR,シド
$C2910_MAIN_0500_0300_00_cid,,狼煙あげろ
